frame_id,brand,location,size,percentage,x,y,confidence,count,new_id
53,See_The_Best,Grandstand,1408,0.152777778,811,19,0.977046,1,76
53,Seiko,Infield_Board,3248,0.352430556,866,214,0.995777,1,74
54,Heineken,Led_Board_S,1564,0.169704861,744,166.5,0.993182,1,67
54,Muller,Led_Board_M,600,0.065104167,838.5,166,0.99332,1,68
54,Muller,Led_Board_M,660,0.071614583,802,168,0.996407,1,68
54,#BeTheNext,Grandstand,1235,0.134006076,353.5,40.5,0.999725,1,73
54,IAAF,Grandstand,264,0.028645833,535,39,0.998815,1,71
54,See_The_Best,Grandstand,1768,0.191840278,845,22,0.895556,1,76
54,Seiko,Infield_Board,3164,0.343315972,899.5,217,0.997006,1,74
55,Heineken,Led_Board_S,1750,0.189887153,794,161.5,0.998608,1,67
55,Muller,Led_Board_M,768,0.083333333,855,161,0.997954,1,68
55,Muller,Led_Board_M,768,0.083333333,899,160,0.999616,1,68
55,#BeTheNext,Grandstand,1207,0.130967882,379.5,31.5,0.999368,1,73
55,IAAF,Grandstand,324,0.03515625,570.5,26,0.997894,1,71
55,Seiko,Infield_Board,3509,0.380750868,960.5,217.5,0.998691,1,74
56,TDK,100m_Start_Board,11094,1.203776042,721,464.5,0.700927,1,78
56,Toyota,Led_Board_M,3268,0.354600694,1240,511.5,0.424949,1,79
58,Queen_Elizabeth_Olympic_Park_,Led_Board_S,1022,0.110894097,853.5,26,0.443628,1,80
58,British_Athletics,Led_Board_S,832,0.090277778,648,24,0.35138,1,81
58,Seiko,Infield_Board,2369,0.257052951,837.5,92.5,0.983639,1,82
58,Seiko,Led_Board_S,2278,0.247178819,973.5,26,0.497562,1,83
58,Seiko,Led_Board_M,799,0.086697049,51.5,10.5,0.742588,1,84
58,Seiko,Led_Board_M,1722,0.186848958,972,24.5,0.830293,1,85
59,London,Led_Board_S,450,0.048828125,731,33.5,0.637589,1,86
59,British_Athletics,Led_Board_S,848,0.092013889,648.5,27,0.358834,1,81
59,Heineken,Led_Board_S,1410,0.152994792,851,35.5,0.326421,1,87
59,Heineken,Led_Board_S,884,0.095920139,197,23.5,0.880792,1,88
59,Muller,Led_Board_M,378,0.041015625,250.5,26,0.548511,1,89
59,Seiko,Infield_Board,2064,0.223958333,837,98,0.976205,1,82
59,London_2017,HighJumpMat,884,0.095920139,197,23.5,0.558571,1,90
59,Seiko,Led_Board_S,3115,0.337999132,973.5,30.5,0.449448,1,83
59,Seiko,Led_Board_M,637,0.069118924,63.5,17.5,0.539346,1,84
59,Seiko,Led_Board_M,1444,0.156684028,972,30.5,0.924674,1,85
59,Spikes_Magazine,Led_Board_S,637,0.069118924,63.5,17.5,0.377528,1,91
60,IAAF,Grandstand,2001,0.217122396,1236.5,334.5,0.994639,1,92
60,Toyota,Bib,5082,0.551432292,712,435.5,0.999693,1,93
61,IAAF,Grandstand,1632,0.177083333,991,383,0.99951,1,94
61,See_The_Best,Grandstand,6307,0.684353299,503.5,390.5,0.469324,1,95
61,Toyota,Bib,4448,0.482638889,767.5,436,0.999805,1,93
62,Muller,Led_Board_M,3024,0.328125,141,702,0.779059,1,96
62,Muller,Led_Board_M,2520,0.2734375,230,699,0.915991,1,97
62,#BeTheNext,Grandstand,11774,1.277560764,1051.5,200,0.998187,1,98
62,See_The_Best,Grandstand,6350,0.689019097,243.5,392,0.771525,1,99
62,Toyota,Bib,5478,0.594401042,769,428.5,0.999307,1,93
63,#BeTheNext,Grandstand,8892,0.96484375,602,253.5,0.338729,1,100
63,IAAF,Grandstand,1508,0.163628472,277,414,0.349593,1,101
63,Toyota,Bib,4255,0.461697049,779.5,435.5,0.99974,1,93
64,Heineken,Led_Board_S,8820,0.95703125,247,690.5,0.30942,1,102
64,#BeTheNext,Grandstand,9100,0.987413194,91,247,0.786357,1,103
64,#BeTheNext,Grandstand,6106,0.662543403,484,387.5,0.997292,1,104
66,Heineken,Led_Board_S,609,0.066080729,801.5,163.5,0.309908,1,105
66,Heineken,Led_Board_S,1428,0.154947917,751,164.5,0.999304,1,106
66,Muller,Led_Board_M,814,0.088324653,807.5,166,0.906093,1,107
